Topic,Asset,Interval,Target param,RF_R2,RF_RMSE,Target_Std
Federal politics,ZN,15m,Vol,-0.4545608095201419,2.793210383586128e-05,2.315995476296883e-05
Federal politics,ZN,30m,Vol,-0.30176727330912567,3.8490003617177845e-05,3.3735043722536545e-05
Federal politics,ZN,1h,Vol,-5.6278891350891795,4.7939704252588656e-05,1.8621202922251485e-05
Federal politics,ZN,1d,Vol,-1.6335757822007522,3.6574884835449484e-05,2.2537724063758564e-05
Federal politics,I_NDX,5m,Vol,-0.2701686435238202,0.00020893600201326754,0.00018538841296643365
Federal politics,I_NDX,15m,Vol,-0.439773613197044,8.577756739968362e-05,7.148692572636498e-05
Federal politics,I_NDX,30m,Vol,-0.7107259382568631,4.900401172736068e-05,3.746635251342935e-05
Federal politics,I_NDX,1h,Vol,-0.8138659037231761,2.724378101725644e-05,2.0228551813258366e-05
Federal politics,I_NDX,1d,Vol,0.43131867129395196,1.2216367667316288e-05,1.6199723805157227e-05
Federal politics,X_BTCUSD,5m,Beta,-0.040536032723912596,5.031422371969544,4.932444582312996
Federal politics,X_BTCUSD,15m,Beta,-0.4465803140551372,1.554783215572451,1.2927024392479436
Federal politics,X_BTCUSD,30m,Beta,-0.731512168247743,1.2877496838063132,0.9786303447477682
Federal politics,X_BTCUSD,1h,Beta,-0.39729792475265024,1.2328845786307314,1.042984641550228
Federal politics,X_BTCUSD,1d,Beta,-0.4710676383334118,0.5321607377609052,0.43875947565361473
Federal politics,CL,5m,Beta,-0.31590798231271844,5.922440447303322,5.162831387796012
Federal politics,CL,15m,Beta,-0.39253377579821547,3.0933340466456567,2.6213436103749794
Federal politics,CL,30m,Beta,-0.5450374302972851,2.1780542911431247,1.75226262758574
Federal politics,CL,1h,Beta,-0.5752353705533162,2.2764641167391955,1.8137945038340222
Federal politics,CL,1d,Beta,-0.9142214458872393,2.1324604511034218,1.5412919021920948
Federal politics,ES,5m,Beta,1.0,0.0,0.0
Federal politics,ES,15m,Beta,1.0,0.0,0.0
Federal politics,ES,30m,Beta,1.0,0.0,0.0
Federal politics,ES,1h,Beta,1.0,0.0,0.0
Federal politics,ES,1d,Beta,1.0,0.0,0.0
Federal politics,YM,5m,Beta,-0.15878089683144658,0.5140180027863828,0.47750471727441507
Federal politics,YM,15m,Beta,-0.0585231781891804,0.24225728890014311,0.23546516527894362
Federal politics,YM,30m,Beta,-0.06142368106599605,0.1894549614034268,0.183891475109985
Federal politics,YM,1h,Beta,-0.13441036117075567,0.1769453510232998,0.16613229494191403
Federal politics,YM,1d,Beta,-0.2643467723123387,0.11751254347580012,0.10450838205394755
Federal politics,ZN,5m,Beta,-0.14245654811167974,0.6602202292597493,0.6176877399925383
Federal politics,ZN,15m,Beta,-0.4608887588281019,0.3065290950730715,0.253608105291595
Federal politics,ZN,30m,Beta,-0.737769536202215,0.2961705973861388,0.22467039638705005
Federal politics,ZN,1h,Beta,-0.05310283203707988,0.7198181407702683,0.7014349430869348
Federal politics,ZN,1d,Beta,-0.29640689480985305,0.16813513778301845,0.1476684845863654
Federal politics,I_NDX,5m,Beta,-0.24388521076374503,0.5819573432442792,0.5217963062279833
Federal politics,I_NDX,15m,Beta,-0.408189804287312,0.22664305325821513,0.19099052144203973
Federal politics,I_NDX,30m,Beta,-0.7443641101428218,0.17298682802740153,0.13097682665705476
Federal politics,I_NDX,1h,Beta,-1.0396093154816648,0.15654820722539167,0.10961616529315175
Federal politics,I_NDX,1d,Beta,-1.7188844438481357,0.1560057089185405,0.09461175889891402
Iran war/Oil,X_BTCUSD,5m,Return,-0.21478144831573798,0.001251158432614632,0.0011351760816295732
Iran war/Oil,X_BTCUSD,15m,Return,-0.10957591016461654,0.0020241156383527907,0.0019215726583643059
Iran war/Oil,X_BTCUSD,30m,Return,-0.18339970210583667,0.0025597395767242904,0.0023530440390730867
Iran war/Oil,X_BTCUSD,1h,Return,-0.4791705387357106,0.00398412642679706,0.0032758498477466484
Iran war/Oil,X_BTCUSD,1d,Return,-0.1569920792298627,0.013764183869156623,0.01279632532123218
Iran war/Oil,CL,5m,Return,-0.6166242832498283,0.0025046141103333822,0.001969864138618831
Iran war/Oil,CL,15m,Return,0.0500646619990488,0.008090549104356935,0.008301010747595858
Iran war/Oil,CL,30m,Return,-0.03009870704662898,0.005755755115707399,0.005671042306058683
Iran war/Oil,CL,1h,Return,-0.09933232404305303,0.012661322775547159,0.012075763015242234
Iran war/Oil,CL,1d,Return,-0.0622768372858753,0.028833820468292047,0.0279758527931895
Iran war/Oil,ES,5m,Return,-0.3237377136801476,0.0003365449120464077,0.0002925109026955463
Iran war/Oil,ES,15m,Return,-0.04167148852552116,0.0011098780243780381,0.0010874514176868189
Iran war/Oil,ES,30m,Return,-0.030877773169740497,0.0009304996896233707,0.0009164581646575949
Iran war/Oil,ES,1h,Return,-0.6145595721612465,0.0015473698658656854,0.0012177751234436944
Iran war/Oil,ES,1d,Return,0.7028683585469704,0.0016774159047177296,0.0030772749777248985
Iran war/Oil,YM,5m,Return,0.061820475021017174,0.00029464868507005684,0.0003042016266502921
Iran war/Oil,YM,15m,Return,-0.050586323308651426,0.0011063573051796262,0.0010793928487074387
Iran war/Oil,YM,30m,Return,-0.17030739791189853,0.0009323613394161289,0.0008618551516412248
Iran war/Oil,YM,1h,Return,-0.12450785036291068,0.0015744540283573892,0.0014847342896571955
